ROW   COL   Start  Frac1   botm1   botm2   botm3
49    160   26     0.1062  1359    1199    899
50    160   26     0.0000  1363    1204    804
51    160   27     0.8723  1336    1074    574
52    160   27     0.7445  1311    1071    224
53    161   27     0.5639  1307    1100    82
54    161   27     0.4361  1263    1042    -238
55    161   27     0.3084  1214    1000    -279
56    161   27     0.1807  1190    750     -500
57    162   27     0.0000  1182    778     -600
57    163   28     0.8938  1191    977     -84
57    164   28     0.7876  1216    1000    384
57    165   28     0.6813  1237    992     598
57    166   28     0.5751  1237    1000    807
57    167   28     0.4689  1247    1057    856
57    168   28     0.3627  1243    1122    902
58    168   28     0.2564  1211    1042    842
59    168   28     0.1502  1203    1024    824
60    169   28     0.0000  1207    1041    821
61    170   29     0.9142  1243    1059    839
62    171   29     0.8284  1282    1077    717
62    172   29     0.7678  1308    1122    821
63    172   29     0.7071  1320    995     815
64    173   29     0.6213  1353    1017    817
64    174   29     0.5607  1384    1075    875
64    175   29     0.5000  1410    1126    926
64    176   29     0.4393  1435    1177    977
65    177   29     0.3536  1474    1203    1003
66    178   29     0.2678  1512    1230    1010
67    178   29     0.2071  1501    1241    1011
68    178   29     0.1464  1462    1212    992
69    179   29     0.0607  1489    1200    900
69    180   29     0.0000  1571    1233    933
69    181   30     0.8441  1577    1271    971
69    182   30     0.6882  1580    1290    990
68    183   30     0.4677  1615    1285    1085
67    183   30     0.3118  1655    1259    1159
67    184   30     0.1559  1671    1291    1191
67    185   30     0.0000  1669    1291    1191
67    186   31     0.5000  1681    1260    1160
67    187   31     0.0000  1711    1611    1211
67    188   32     0.7500  1754    1654    1254
67    189   32     0.5000  1789    1689    1289
67    190   32     0.2500  1810    1710    1310
67    191   32     0.0000  1822    1722    1352
67    192   33     0.8845  1848    1748    1408
68    192   33     0.7690  1801    1701    1350
69    193   33     0.6056  1793    1693    1343
70    194   33     0.4422  1758    1658    1398
71    195   33     0.2789  1783    1683    1350
71    196   33     0.1634  1861    1761    1335
72    197   33     0.0000  1849    1749    150
73    198   34     0.8804  1880    1780    -6
74    198   34     0.7959  1795    1695    -6
75    198   34     0.7114  1736    1636    -6
76    198   34     0.6268  1692    1592    -9
76    197   34     0.5423  1656    1556    14
76    196   34     0.4577  1671    1571    230
76    195   34     0.3732  1606    1506    476
77    195   34     0.2886  1625    1349    395
78    195   34     0.2041  1570    1300    363
79    196   34     0.0845  1529    1300    262
79    197   34     0.0000  1550    1300    111
79    198   35     0.7071  1566    1466    59
79    199   35     0.4142  1598    1498    26
80    200   35     0.0000  1593    1493    89
80    201   36     0.9516  1738    1638    77
80    202   36     0.9032  1764    1664    86
81    203   36     0.8347  1796    1696    398
81    204   36     0.7863  1824    1724    447
81    205   36     0.7379  1857    1757    387
81    206   36     0.6895  1863    1763    108
82    206   36     0.6411  1822    1722    349
83    207   36     0.5726  1812    1712    308
83    208   36     0.5242  1854    1754    104
84    208   36     0.4758  1866    1766    60
85    209   36     0.4073  1860    1760    14
85    210   36     0.3589  1861    1761    -4
86    210   36     0.3105  1822    1722    6
87    210   36     0.2621  1800    1700    2
88    210   36     0.2137  1824    1724    36
89    210   36     0.1653  1802    1412    391
90    211   36     0.0968  1816    1716    384
90    212   36     0.0484  1830    1730    314
91    212   36     0.0000  1797    1697    393
92    212   37     0.5858  1818    1518    481
93    213   37     0.0000  1803    1703    569
94    214   38     0.8319  1821    1421    731
94    215   38     0.7131  1847    1447    410
94    216   38     0.5942  1873    1573    291
94    217   38     0.4754  1902    1602    229
